ID,Comune,Provincia,Tipologia,Nome,Via,Citta,CAP,mail,Telefono
1,46007,46,Bottega,Minimarket Pardini Alessandro Sas,"Via Della Pieve, 25","Pieve Di Compito, Capannori",55012,minimarketpardini@virgilio.it,0583 979200
2,46007,46,Ristorante,La Bettola,Via Di Vorno 89,"Vorno, Capannori",55060,bruna.twiggy@libero.it,0583 403401 - 340 7824989
3,46007,46,Ristorante,Al Bimbotto,"Via Di Vorno, 177","Vorno, Capannori",55012,info@bimbotto.it,0583 971193
4,46007,46,Ristorante,Tenuta Dello Scompiglio,Via Di Vorno N° 67,"Vorno, Capannori",55012,cucina@delloscompiglio.org,0583 971473
5,46007,46,Ristorante,Eno Ristorante Micheloni,Via Di Sottomonte 7,Capannori,55060,info@enoristorantemicheloni.net,0583 947036
6,46017,46,Ristorante,L'olivo Ristorante,Piazza San Quirico 1,Lucca,55100,info@ristoranteolivo.it,0583 493129
7,46007,46,Ristorante,La Cecca,"Via Di Coselli, 55","Coselli, Capannori",55060,info@lacecca.it,0583 94284
8,46007,46,Ristorante,"Ristorante ""la Cantina Di Alfredo""","Via Di Colognora, 30","Colognora Di Compito, Capannori",55062,info@lacantinadialfredo.it,0583 980192 - 0583 983908
9,46007,46,Ristorante,"Ristorante ""forino""","Via Carlo Piaggia, 21",Capannori,55012,ristoranteforino@virgilio.it,0583 935302
10,46007,46,Ristorante,Al Covo,Via Pesciatina 761,"Lappato, Capannori",55010,info@ristorante-alcovo.it,0583 975021
11,46007,46,Ristorante,"Ristorante ""i Diavoletti""","Stradone Di Camigliano, 302","Camigliano, Capannori",55010,paolabosi@interfree.it,0583 920323
12,46007,46,Ristorante,Ristoro Delle Colline,Via Di Petrognano 13,"Petrognano, Capannori",55010,manueladesimoni@libero.it,339  4746477
13,46007,46,Ristorante,Tenuta San Pietro,Via Per San Pietro 22/26,"San Pietro Marcigliano, Capannori",55012,info@tenuta-san-pietro.com,0583  926676
14,46008,46,Bottega,Macelleria Corsi Ernesto,Via Fonte Vecchia,Careggine,55030,Indirizzo posta elettronica non fornito,0583  661127
15,45003,45,Ristorante,Ciccio Marina,Viale Giovanni Da Verazzano 1,"Marina Di Carrara, Carrara",54033,cicciomarina@ristoranteciccio.it,0585  70226
16,45003,45,Ristorante,Ristorante Club Nautico,"Viale Cristoforo, 2","Marina Di Carrara, Carrara",54033,clubnautico.carasrl@virgilio.it,0585  780925
17,45003,45,Ristorante,Bellezza,"Via Ciro Menotti, 35/e","Marina Di Carrara, Carrara",54033,ristorantebellezza@gmail.com,0585  788862
18,45003,45,Bottega,Biscottificio Piemonte,"Viale Zaccagna, 33","Avenza, Carrara",54031,info@dogliani.net,0585  632744
19,45003,45,Ristorante,Il Buscaiol,Via Genova 6,Carrara,54031,Indirizzo posta elettronica non fornito,0585  634138
20,45003,45,Bottega,Naturalmente Lunigiana,Via Felice Cavallotti 2,"Marina Di Carrara, Carrara",54033,naturalmentelunigiana@gmail.com,0346  5766219
21,45003,45,Bottega,La Bottega Di Nicky,Via Parma 16,"Marina Di Carrara, Carrara",54033,boggiamassimo@Gmail.com,0339  8835351
22,45003,45,Bottega,Supermercati 2g Di Foddai Giovanni,"Via F.cavallotti, 40",Carrara,54033,f.isabell@tin.it,0585  634350
23,45003,45,Bottega,Alimentari Peselli Brunella,"Via Rinchiosa, 1",Carrara,54033,Indirizzo posta elettronica non fornito,0585  630626
24,45003,45,Bottega,Alimentari Venturini Massimo,"Via Covetta, 88",Carrara,54033,maxventurix@alice.it,0585  858550
25,45003,45,Ristorante,Venanzio,Piazza Palestro 3,"Colonnata, Carrara",54033,info@ristorantevenanzio.com,0585  758033
26,45003,45,Bottega,Antica Drogheria Di Santucci Manuela,"Via Rosselli, 1",Carrara,54033,Indirizzo posta elettronica non fornito,0585  71936
27,45003,45,Ristorante,Enoteca Velia,"Via A. Manzoni, 1",Carrara,54033,enotecavelia@yahoo.it,0347  9490891
28,45003,45,Ristorante,Osteria Vittorio,Via Cavour 28,Carrara,54033,Indirizzo posta elettronica non fornito,0585  72134
29,45003,45,Bottega,La Geode,Via Del Commercio 5,"Centro Di Carrara - San Martino, Carrara",54033,info@rossilia.it,0585  74201
30,45003,45,Ristorante,L Purtunzin D'ninan,Via Bartolini 3,Carrara,54033,purtunzin@alice.it,0585  74741
31,45003,45,Ristorante,La Petite Cuisine,Via Verdi 4,Carrara,54033,m.tissi92@gmail.com,0585  70226
32,45003,45,Ristorante,Le Petite Cuisine,Via Verdi 4,Carrara,54033,Indirizzo posta elettronica non fornito,0585  70226
33,45003,45,Bottega,Il Cantinone Di Particelli Luigi,"Via 7 Luglio, 8",Carrara,54033,enotecailcantinone@libero.it,0585  70647
34,45003,45,Ristorante,La Capinera Osteria Tipica,Via Ulivi 8,"Carrara Centro, Carrara",54033,calmasnc@yahoo.it,0585  74294
35,45003,45,Ristorante,Osteria Merope,Via Ulivi 4,Carrara,54033,osteriamerope@alice.it,0585  776961
36,45003,45,Ristorante,Il Rebacco,"Via Loris Giorgi, 5",Carrara,54033,ilrebacco@yahoo.it,0585  776778
37,45003,45,Ristorante,"Ristorante ""la Tavernetta"" Da Franco",Piazza Alberica 10,Carrara,54033,ristlatavernetta@gmail.com,0339  8198168
38,45003,45,Bottega,Pane E Salame Panificio Bonandi Snc,Via Monterosso 3,Carrara,54033,Indirizzo posta elettronica non fornito,0585  74820
39,45003,45,Bottega,La Nuova Macelleria Di Musetti Augusta,"Via C, Fontana 10",Carrara,54033,Indirizzo posta elettronica non fornito,0585  845052
40,46009,46,Ristorante,Il Ciulé,Via Pascoli 1,Castelnuovo Di Garfagnana,55032,Indirizzo posta elettronica non fornito,0583  62643
41,46009,46,Bottega,La Formaggeria Di Marovelli Snc,"Via Farini, 2",Castelnuovo Di Garfagnana,55032,romina.marovelli@gmail.com,0583  613212
42,46009,46,Ristorante,Il Baretto,"Via Farini, 5",Castelnuovo Di Garfagnana,55032,ilbaretto@exite.it,0583  639136
43,46009,46,Ristorante,Osteria Vecchio Mulino,"Via Vittorio Emanuele, 12",Castelnuovo Di Garfagnana,55032,Andreabertucci1@virgilio.it,0583  62192
44,46009,46,Bottega,Vecchio Mulino Di Bertucci,"Via Vittorio Emanuele, 12",Castelnuovo Di Garfagnana,55032,Andreabertucci1@virgilio,0583  62192
45,46009,46,Bottega,La Piazzetta Di Abrami Angelo,"Via F.testi, 12",Castelnuovo Di Garfagnana,55032,Indirizzo posta elettronica non fornito,0583  644520
46,46009,46,Ristorante,"Ristorante ""da Carlino""","Via Garibaldi, 15",Castelnuovo Di Garfagnana,55032,dacarlino@dacarlino.it,0583  644270
47,46009,46,Bottega,Pozzo Di Bacco Di Fornari Sas,"Via O.dini, 6",Castelnuovo Di Garfagnana,55032,pozzodibacco@libero.it,0583  62361
48,46009,46,Bottega,L'aia Di Piero,"Via Roma, 20",Castelnuovo Di Garfagnana,55032,negozio@aiadipiero.it,0583  62519
49,45008,45,Ristorante,Ristorante Cocopizza,Via Caniparola 7,"Caniparola Di Fosdinovo, Fosdinovo",54035,info@cocopizza.it,0187  693248
50,45008,45,Ristorante,"Ristorante ""al Falco""",Via Piana Di Copino 1,Fosdinovo,54035,camerebellavista@libero.it,0187  680064
51,45008,45,Ristorante,Nigo Pezigo,Via Papiriana,Fosdinovo,54035,alice.minu@libero.it,0187  1856184
52,45008,45,Ristorante,Nigo Pezigo,Via Papiriana 1a,Fosdinovo,54035,nigopezigo@gmail.com,0187  1856184
53,46004,46,Ristorante,Hotel Ristorante Milano Snc Di Baldaccini R & M,"Via Del Brennero, 8","Socciglia, Borgo A Mozzano",55023,hotelmilano@interfree.it,0583  889191
