id,id_ristorante,ristorante_id,categoria,nome,prezzo,currency
1,1,1,Starters,Insalata,4,EUR
2,1,1,Primi,Pici al ragù di cinghiale,8,EUR
3,1,1,Secondi,Carne,15,EUR
4,1,1,Drink,Vino Locale,6,EUR
5,1,1,Dessert,Tiramisu,8,EUR
1,2,2,Starters,Insalata,4,EUR
2,2,2,Primi,Pici al ragù di cinghiale,8,EUR
3,2,2,Secondi,Carne,15,EUR
4,2,2,Drink,Vino Locale,6,EUR
5,2,2,Dessert,Tiramisu,8,EUR
1,3,3,Starters,Insalata,4,EUR
2,3,3,Primi,Pici al ragù di cinghiale,8,EUR
3,3,3,Secondi,Carne,15,EUR
4,3,3,Drink,Vino Locale,6,EUR
5,3,3,Dessert,Tiramisu,8,EUR
1,4,4,Starters,Insalata,4,EUR
2,4,4,Primi,Pici al ragù di cinghiale,8,EUR
3,4,4,Secondi,Carne,15,EUR
4,4,4,Drink,Vino Locale,6,EUR
5,4,4,Dessert,Tiramisu,8,EUR
1,5,5,Starters,Insalata,4,EUR
2,5,5,Primi,Pici al ragù di cinghiale,8,EUR
3,5,5,Secondi,Carne,15,EUR
4,5,5,Drink,Vino Locale,6,EUR
5,5,5,Dessert,Tiramisu,8,EUR
1,6,6,Starters,Insalata,4,EUR
2,6,6,Primi,Pici al ragù di cinghiale,8,EUR
3,6,6,Secondi,Carne,15,EUR
4,6,6,Drink,Vino Locale,6,EUR
5,6,6,Dessert,Tiramisu,8,EUR
1,7,7,Starters,Insalata,4,EUR
2,7,7,Primi,Pici al ragù di cinghiale,8,EUR
3,7,7,Secondi,Carne,15,EUR
4,7,7,Drink,Vino Locale,6,EUR
5,7,7,Dessert,Tiramisu,8,EUR
1,8,8,Starters,Insalata,4,EUR
2,8,8,Primi,Pici al ragù di cinghiale,8,EUR
3,8,8,Secondi,Carne,15,EUR
4,8,8,Drink,Vino Locale,6,EUR
5,8,8,Dessert,Tiramisu,8,EUR
1,9,9,Starters,Insalata,4,EUR
2,9,9,Primi,Pici al ragù di cinghiale,8,EUR
3,9,9,Secondi,Carne,15,EUR
4,9,9,Drink,Vino Locale,6,EUR
5,9,9,Dessert,Tiramisu,8,EUR
1,10,10,Starters,Insalata,4,EUR
2,10,10,Primi,Pici al ragù di cinghiale,8,EUR
3,10,10,Secondi,Carne,15,EUR
4,10,10,Drink,Vino Locale,6,EUR
5,10,10,Dessert,Tiramisu,8,EUR
1,11,11,Starters,Insalata,4,EUR
2,11,11,Primi,Pici al ragù di cinghiale,8,EUR
3,11,11,Secondi,Carne,15,EUR
4,11,11,Drink,Vino Locale,6,EUR
5,11,11,Dessert,Tiramisu,8,EUR
1,12,12,Starters,Insalata,4,EUR
2,12,12,Primi,Pici al ragù di cinghiale,8,EUR
3,12,12,Secondi,Carne,15,EUR
4,12,12,Drink,Vino Locale,6,EUR
5,12,12,Dessert,Tiramisu,8,EUR
1,13,13,Starters,Insalata,4,EUR
2,13,13,Primi,Pici al ragù di cinghiale,8,EUR
3,13,13,Secondi,Carne,15,EUR
4,13,13,Drink,Vino Locale,6,EUR
5,13,13,Dessert,Tiramisu,8,EUR
1,14,14,Starters,Insalata,4,EUR
2,14,14,Primi,Pici al ragù di cinghiale,8,EUR
3,14,14,Secondi,Carne,15,EUR
4,14,14,Drink,Vino Locale,6,EUR
5,14,14,Dessert,Tiramisu,8,EUR
1,15,15,Starters,Insalata,4,EUR
2,15,15,Primi,Pici al ragù di cinghiale,8,EUR
3,15,15,Secondi,Carne,15,EUR
4,15,15,Drink,Vino Locale,6,EUR
5,15,15,Dessert,Tiramisu,8,EUR
1,16,16,Starters,Insalata,4,EUR
2,16,16,Primi,Pici al ragù di cinghiale,8,EUR
3,16,16,Secondi,Carne,15,EUR
4,16,16,Drink,Vino Locale,6,EUR
5,16,16,Dessert,Tiramisu,8,EUR
1,17,17,Starters,Insalata,4,EUR
2,17,17,Primi,Pici al ragù di cinghiale,8,EUR
3,17,17,Secondi,Carne,15,EUR
4,17,17,Drink,Vino Locale,6,EUR
5,17,17,Dessert,Tiramisu,8,EUR
1,18,18,Starters,Insalata,4,EUR
2,18,18,Primi,Pici al ragù di cinghiale,8,EUR
3,18,18,Secondi,Carne,15,EUR
4,18,18,Drink,Vino Locale,6,EUR
5,18,18,Dessert,Tiramisu,8,EUR
1,19,19,Starters,Insalata,4,EUR
2,19,19,Primi,Pici al ragù di cinghiale,8,EUR
3,19,19,Secondi,Carne,15,EUR
4,19,19,Drink,Vino Locale,6,EUR
5,19,19,Dessert,Tiramisu,8,EUR
1,20,20,Starters,Insalata,4,EUR
2,20,20,Primi,Pici al ragù di cinghiale,8,EUR
3,20,20,Secondi,Carne,15,EUR
